"Iteration","Posterior","Likelihood"
0,-8783,-359.5161
10,-347.553,-314.3441
20,-312.9378,-315.5371
30,-313.8326,-314.2348
40,-311.74,-312.2481
50,-309.9946,-311.8528
60,-313.9242,-314.6939
70,-310.7872,-313.3011
80,-312.3135,-312.1468
90,-313.226,-312.8194
100,-317.4853,-312.546
110,-313.8745,-315.7198
120,-314.6417,-315.6244
130,-314.5222,-315.8812
140,-313.3152,-315.6647
150,-314.3275,-313.9318
160,-315.0324,-317.4152
170,-310.6298,-312.6492
180,-313.7796,-312.7765
190,-311.9232,-311.9312
200,-313.5064,-313.9249
210,-311.5284,-313.7768
220,-309.4961,-312.2419
230,-312.3546,-313.2144
240,-311.5911,-311.3981
250,-310.6846,-313.1987
260,-313.1701,-311.7337
270,-311.3627,-312.3261
280,-310.1085,-312.1488
290,-314.0417,-313.5392
300,-308.8816,-311.9883
310,-314.0676,-312.5376
320,-312.8293,-312.3258
330,-318.4131,-317.4857
340,-310.6218,-313.1976
350,-312.732,-313.6209
360,-312.8361,-314.0383
370,-318.1548,-317.5866
380,-312.917,-313.9911
390,-312.2511,-313.2108
400,-310.0569,-313.1232
410,-314.1757,-313.2532
420,-313.2909,-313.7171
430,-310.3607,-312.1432
440,-313.6266,-311.8329
450,-307.8613,-310.9166
460,-309.1823,-311.5066
470,-310.5026,-312.7303
480,-309.5727,-311.2572
490,-311.8842,-310.744
500,-312.9926,-312.0578
510,-308.9239,-312.2668
520,-312.7869,-312.1731
530,-312.1086,-314.3946
540,-314.7533,-311.93
550,-312.9552,-312.8467
560,-310.7986,-314.0384
570,-312.1719,-308.1991
580,-310.6417,-309.8186
590,-308.2236,-309.0421
600,-308.6854,-308.5251
610,-308.2842,-310.4986
620,-308.3607,-309.2671
630,-312.3235,-310.5321
640,-311.6286,-309.1961
650,-308.2795,-309.7947
660,-311.3497,-310.9474
670,-309.1486,-309.7508
680,-313.3085,-311.5347
690,-307.113,-310.744
700,-309.5173,-308.6752
710,-312.6501,-308.9542
720,-307.4891,-308.3054
730,-307.8003,-308.7921
740,-310.0561,-311.9275
750,-307.5164,-308.8747
760,-309.5562,-309.0166
770,-308.4793,-308.5973
780,-308.0603,-309.3355
790,-314.2868,-310.9663
800,-309.379,-310.1407
810,-306.1935,-309.2898
820,-311.4296,-310.5795
830,-307.0028,-309.5052
840,-313.5953,-311.4262
850,-308.0664,-309.2296
860,-307.1208,-309.1226
870,-311.2134,-311.6836
880,-306.4214,-309.9125
890,-307.5299,-310.382
900,-311.5584,-309.8961
910,-309.39,-309.5157
920,-311.9881,-308.9975
930,-307.4981,-310.4073
940,-306.9466,-310.7536
950,-308.2648,-309.1396
960,-312.776,-309.7045
970,-310.1775,-309.0375
980,-310.2752,-312.522
990,-311.6613,-313.4791
1000,-312.7262,-310.1864
1010,-307.1544,-309.4028
1020,-305.3729,-308.5405
1030,-307.5952,-309.4146
1040,-308.6554,-310.4015
1050,-306.2418,-309.5465
1060,-308.4732,-310.0826
1070,-307.8785,-310.2866
1080,-308.8787,-311.061
1090,-307.2848,-309.3288
1100,-308.0625,-308.5188
1110,-307.1113,-308.5584
1120,-308.9067,-309.974
1130,-315.8575,-310.0074
1140,-307.8006,-309.747
1150,-310.4958,-311.9924
1160,-309.0039,-311.4659
1170,-306.6716,-310.0063
1180,-310.7314,-309.9623
1190,-314.1808,-311.9511
1200,-312.9522,-309.97
1210,-312.0343,-312.4972
1220,-309.2312,-307.8795
1230,-306.6464,-310.3971
1240,-312.5341,-307.9114
1250,-304.7521,-308.9044
1260,-305.2713,-308.3135
1270,-307.196,-308.7435
1280,-306.5487,-309.9117
1290,-309.815,-308.619
1300,-308.3264,-310.523
1310,-309.1022,-310.9868
1320,-309.6616,-310.4759
1330,-307.929,-308.8656
1340,-310.2834,-309.4837
1350,-314.4078,-312.9185
1360,-308.5571,-309.7213
1370,-309.1365,-309.8977
1380,-312.0288,-312.946
1390,-314.7505,-311.8282
1400,-313.2437,-308.7247
1410,-307.7899,-309.4098
1420,-307.4358,-309.4274
1430,-306.2971,-308.7831
1440,-314.2856,-310.3724
1450,-312.0639,-310.3082
1460,-306.8288,-308.9746
1470,-308.8851,-310.1628
1480,-308.9435,-309.536
1490,-310.8004,-310.4351
1500,-312.8694,-313.1058
1510,-307.505,-309.1458
1520,-317.5655,-313.2501
1530,-308.5944,-310.7284
1540,-306.8663,-310.2327
1550,-310.6581,-312.613
1560,-313.8098,-312.9228
1570,-309.7273,-311.933
1580,-313.0916,-312.9336
1590,-309.716,-311.1708
1600,-312.3787,-311.1824
1610,-310.3781,-310.5989
1620,-311.3322,-310.7511
1630,-311.2078,-312.9233
1640,-311.6433,-312.5398
1650,-311.6165,-314.2079
1660,-308.19,-311.2292
1670,-312.7255,-313.3378
1680,-310.5413,-311.6614
1690,-309.9142,-311.4868
1700,-313.0315,-314.8032
1710,-309.8735,-313.57
1720,-313.8564,-315.8281
1730,-313.7564,-314.7617
1740,-316.613,-315.2435
1750,-313.5217,-313.3525
1760,-312.2816,-314.7797
1770,-314.7241,-314.0508
1780,-319.5401,-312.3635
1790,-320.4705,-318.1622
1800,-311.599,-312.7937
1810,-313.9253,-316.4885
1820,-312.1946,-314.6082
1830,-312.0257,-313.8821
1840,-314.9167,-312.6304
1850,-311.9752,-314.9534
1860,-311.7405,-313.1289
1870,-312.75,-312.9762
1880,-313.7223,-313.9149
1890,-310.0236,-312.4831
1900,-312.8156,-313.8457
1910,-314.5225,-314.0877
1920,-312.2208,-313.9601
1930,-314.6134,-313.5199
1940,-317.5825,-313.2316
1950,-314.8249,-315.4125
1960,-315.2354,-314.497
1970,-312.4179,-314.53
1980,-313.4877,-314.9237
1990,-311.069,-314.1132
2000,-314.7116,-314.2182
2010,-313.8229,-317.0801
2020,-316.1859,-315.5378
2030,-314.5445,-315.1246
2040,-315.6495,-316.2785
2050,-315.8399,-317.1779
2060,-316.4141,-316.2418
2070,-313.136,-315.3446
2080,-313.198,-315.1645
2090,-316.3855,-317.9464
2100,-314.8738,-317.0956
2110,-315.8854,-316.9157
2120,-318.6658,-317.6137
2130,-317.9447,-315.9729
2140,-317.7771,-316.3552
2150,-320.313,-316.2614
2160,-316.3,-316.5425
2170,-321.2097,-320.1537
2180,-317.0217,-317.8694
2190,-312.5008,-315.4404
2200,-314.3943,-314.5902
2210,-316.1987,-314.1264
2220,-317.3761,-317.0378
2230,-319.0625,-316.7278
2240,-311.5801,-315.3487
2250,-309.344,-312.6062
2260,-311.9652,-311.2072
2270,-312.1557,-313.828
2280,-310.704,-312.6917
2290,-310.3043,-312.4428
2300,-309.6103,-312.9174
2310,-312.1547,-313.1749
2320,-310.4482,-314.0018
2330,-309.9368,-312.0759
2340,-311.7594,-311.486
2350,-311.0388,-312.4013
2360,-312.1525,-312.2343
2370,-310.8481,-312.9741
2380,-312.362,-311.2162
2390,-310.9539,-311.0778
2400,-317.4112,-313.3923
2410,-312.0358,-311.4762
2420,-311.7839,-311.7115
2430,-311.1516,-311.2979
2440,-315.438,-316.015
2450,-311.0473,-313.4645
2460,-314.8057,-313.3066
2470,-318.9719,-314.3774
2480,-311.1289,-313.801
2490,-310.6395,-313.4352
2500,-309.3911,-313.1769
2510,-311.4968,-313.6679
2520,-311.4581,-313.3042
2530,-317.4197,-312.7582
2540,-312.3828,-314.0076
2550,-312.7214,-314.4159
2560,-312.0339,-313.3725
2570,-309.329,-312.9057
2580,-312.9092,-314.3613
2590,-311.2588,-313.183
2600,-313.9481,-311.9671
2610,-315.4614,-314.6768
2620,-314.6446,-312.4947
2630,-314.2142,-311.9588
2640,-314.7202,-313.6904
2650,-315.9231,-315.4454
2660,-309.7538,-311.5446
2670,-308.8735,-311.601
2680,-310.5543,-312.5685
2690,-312.0831,-313.3621
2700,-308.5693,-311.9995
2710,-310.6798,-313.4084
2720,-310.1614,-311.2804
2730,-311.3284,-311.4964
2740,-308.7368,-312.391
2750,-314.8279,-314.6735
2760,-317.1149,-313.67
2770,-314.9911,-312.0476
2780,-310.7686,-313.4006
2790,-309.8615,-311.6102
2800,-311.0329,-312.1917
2810,-312.7066,-314.2191
2820,-316.7734,-315.5866
2830,-310.1265,-312.306
2840,-309.1655,-311.784
2850,-312.653,-312.9055
2860,-311.3483,-313.7541
2870,-309.9372,-312.8123
2880,-315.406,-312.1107
2890,-312.0704,-311.5695
2900,-308.8231,-312.3887
2910,-313.2217,-312.8167
2920,-310.3221,-312.917
2930,-311.2814,-312.4863
2940,-309.2776,-311.8199
2950,-310.8468,-313.0248
2960,-311.5884,-313.2484
2970,-308.7918,-312.2928
2980,-312.4397,-311.6741
2990,-318.6326,-314.2465
3000,-315.8841,-315.6116
3010,-310.9149,-311.8039
3020,-313.2464,-311.5613
3030,-316.437,-313.7981
3040,-314.8332,-312.911
3050,-313.5999,-312.0393
3060,-310.0557,-307.5729
3070,-306.2127,-307.1901
3080,-308.82,-308.689
3090,-305.195,-307.7879
3100,-305.2407,-308.4415
3110,-308.3514,-308.7902
3120,-306.1297,-307.641
3130,-311.9131,-308.7294
3140,-305.6574,-308.5769
3150,-312.9851,-310.3947
3160,-304.5867,-307.0514
3170,-306.4409,-308.3756
3180,-305.3266,-308.6842
3190,-305.3267,-307.6012
3200,-307.9316,-308.138
3210,-310.9376,-310.1826
3220,-308.1024,-307.6429
3230,-308.1986,-310.6126
3240,-307.1831,-307.9529
3250,-306.6218,-307.1323
3260,-312.2957,-313.02
3270,-306.317,-307.3419
3280,-307.6402,-307.5532
3290,-309.353,-310.0744
3300,-306.5087,-308.8761
3310,-307.8674,-307.6046
3320,-305.1556,-307.3645
3330,-308.9558,-307.3598
3340,-307.6023,-308.2068
3350,-311.2379,-309.3189
3360,-304.7563,-308.0483
3370,-305.2377,-308.9438
3380,-304.0929,-307.6352
3390,-305.7611,-307.5893
3400,-307.2213,-308.1298
3410,-305.821,-308.0506
3420,-308.3333,-308.7166
3430,-306.4038,-308.3756
3440,-309.5563,-311.7455
3450,-305.7614,-307.948
3460,-307.8387,-310.3204
3470,-307.5775,-308.617
3480,-304.4996,-308.8887
3490,-306.0992,-307.9338
3500,-308.6573,-308.4189
3510,-310.0576,-307.7074
3520,-307.7902,-307.206
3530,-308.7361,-307.7461
3540,-311.0295,-308.3331
3550,-306.9804,-309.7382
3560,-305.7128,-309.0022
3570,-305.0909,-308.3177
3580,-304.9561,-308.6597
3590,-307.9286,-309.2904
3600,-310.536,-311.7214
3610,-306.9594,-308.0001
3620,-310.2437,-309.6685
3630,-306.7308,-308.749
3640,-306.9229,-307.021
3650,-306.5467,-306.826
3660,-308.768,-307.4472
3670,-307.8378,-310.8084
3680,-306.9093,-308.1708
3690,-307.7038,-309.5496
3700,-305.4012,-309.2986
3710,-312.7348,-309.1607
3720,-309.3758,-310.5103
3730,-308.7663,-308.5296
3740,-308.0221,-311.2319
3750,-307.7769,-308.1525
3760,-308.7196,-307.5242
3770,-306.3099,-307.6245
3780,-307.674,-309.066
3790,-310.6967,-309.0637
3800,-306.1019,-307.1262
3810,-312.1619,-310.1937
3820,-306.2453,-308.637
3830,-311.3171,-309.9074
3840,-307.2284,-310.7963
3850,-309.4082,-309.5602
3860,-312.3467,-309.0465
3870,-303.9573,-307.6519
3880,-310.4814,-312.2333
3890,-308.0688,-308.3729
3900,-308.2801,-309.0905
3910,-303.9341,-307.3947
3920,-309.201,-310.6084
3930,-308.0703,-309.5466
3940,-306.4145,-308.5196
3950,-311.5612,-307.6877
3960,-306.4342,-309.7278
3970,-307.0242,-307.7656
3980,-306.7365,-308.9399
3990,-303.5453,-307.237
4000,-306.448,-308.4153
4010,-305.7075,-308.636
4020,-306.5814,-308.6806
4030,-304.9616,-307.1868
4040,-307.5057,-307.304
4050,-305.1473,-307.821
4060,-306.1537,-308.8442
4070,-319.8122,-314.9291
4080,-308.3639,-308.5455
4090,-314.8887,-310.2134
4100,-306.7548,-309.1323
4110,-309.7094,-307.4187
4120,-310.5243,-308.252
4130,-305,-307.4097
4140,-309.0238,-307.4082
4150,-308.1741,-310.3829
4160,-306.6154,-308.2996
4170,-309.0111,-309.0439
4180,-306.623,-307.3137
4190,-307.1078,-307.1004
4200,-306.8534,-308.0598
4210,-307.2613,-307.8834
4220,-307.4966,-311.3248
4230,-306.3429,-308.0209
4240,-307.4882,-308.7868
4250,-306.734,-307.6492
4260,-308.3434,-307.5858
4270,-308.0738,-308.3108
4280,-309.9349,-308.1602
4290,-308.6046,-309.6223
4300,-305.7715,-307.9403
4310,-311.1421,-310.6077
4320,-305.3622,-307.9042
4330,-308.5454,-307.4661
4340,-308.2757,-308.1597
4350,-306.3882,-307.442
4360,-311.2858,-308.1476
4370,-314.4746,-309.14
4380,-309.6268,-309.9014
4390,-305.2288,-309.3027
4400,-304.1337,-308.6331
4410,-307.226,-309.5778
4420,-307.7336,-308.1203
4430,-308.2405,-308.0719
4440,-306.3108,-308.5679
4450,-311.0508,-309.8736
4460,-310.4199,-309.5381
4470,-310.2313,-310.5634
4480,-308.4315,-308.5093
4490,-310.3415,-308.144
4500,-310.0642,-309.3057
4510,-309.1639,-310.3316
4520,-309.3961,-311.6852
4530,-308.2216,-309.6062
4540,-308.5549,-309.1172
4550,-306.1301,-309.2666
4560,-307.4934,-308.7453
4570,-313.3817,-311.9744
4580,-309.4001,-312.1986
4590,-308.2386,-310.1309
4600,-309.7704,-308.6899
4610,-307.9612,-311.0964
4620,-309.4819,-311.9952
4630,-309.2729,-308.4904
4640,-308.8767,-309.2982
4650,-310.0146,-310.3801
4660,-306.452,-308.9905
4670,-307.8543,-309.4067
4680,-310.3206,-310.3855
4690,-310.7222,-308.6937
4700,-314.5531,-312.2611
4710,-312.4671,-312.7689
4720,-312.7155,-310.1995
4730,-317.4182,-311.5882
4740,-311.8355,-308.1775
4750,-312.8351,-311.2825
4760,-307.2439,-309.1811
4770,-309.6265,-309.6042
4780,-315.486,-314.4147
4790,-309.0207,-309.066
4800,-311.2229,-309.9114
4810,-308.6351,-309.931
4820,-311.833,-310.4579
4830,-314.2407,-310.4458
4840,-308.9557,-308.8391
4850,-308.294,-308.5708
4860,-308.15,-309.605
4870,-308.3812,-309.0507
4880,-309.5714,-309.8341
4890,-305.7151,-309.4385
4900,-310.8885,-310.8344
4910,-309.8676,-308.5967
4920,-307.9987,-309.8108
4930,-310.1399,-312.4594
4940,-307.1026,-308.7511
4950,-310.4487,-309.2536
4960,-311.1183,-309.9562
4970,-310.3248,-311.6642
4980,-307.3395,-309.8057
4990,-308.222,-309.9336
5000,-308.5733,-309.837
5010,-306.9205,-308.8909
5020,-311.0107,-309.075
5030,-310.1524,-309.4581
5040,-307.0682,-308.7277
5050,-309.5847,-309.4884
5060,-309.5911,-310.5628
5070,-307.5236,-309.3358
5080,-310.3108,-311.9395
